# Opcode List for Skysong && ASMule
# made by Gynvael Coldwind & j00ru
# http://gynvael.coldwind.pl/
# http://j00ru.vexillium.org/
#
# Notes:
#   there are opcodes 80, 81, 83.. where is 82???
#   think what to do with the CDW/CDQ and CBW/CWDE case
#   check if LODS has ModR/M
# 
# Mnem        Opcodes   Len  ModR/M    OpReg     Arg1      Arg2      Arg3
# -----------------------------------------------------------------------

  FUCOMIP     DFE8     13    -         -         ST(0)     ST(i)     -
  FCOS        D9FF     16    -         -         -         -         -
  FDECSTP     D9F6     16    -         -         -         -         -
  FDIV        D8        8    yes       6         ST(0)     m32real   -
  FDIV        DC        8    yes       6         ST(0)     m64real   -
  FDIV        D8F0     13    -         -         ST(0)     ST(i)     -
  FDIV        DCD8     13    -         -         ST(i)     ST(0)     -
  FDIVP       DEF8     13    -         -         ST(i)     ST(0)     -
  FIDIV       DA        8    yes       6         ST(0)     m32int    -
  FIDIV       DE        8    yes       6         ST(0)     m16int    -
  FDIVR       D8        8    yes       7         ST(0)     m32real   -
  FDIVR       DC        8    yes       7         ST(0)     m64real   -
  FDIVR       D8F8     13    -         -         ST(0)     ST(i)     -
  FDIVR       DCD0     13    -         -         ST(i)     ST(0)     -
  FDIVRP      DEF0     13    -         -         ST(i)     ST(0)     -
  FIDIVR      DA        8    yes       7         ST(0)     m32int    -
  FIDIVR      DE        8    yes       7         ST(0)     m16int    -
  FFREE       DDC0     13    -         -         ST(i)     -         -
  FICOM       DE        8    yes       2         m16int    -         -
  FICOM       DA        8    yes       2         m32int    -         -
  FICOMP      DE        8    yes       3         m16int    -         -
  FICOMP      DA        8    yes       3         m32int    -         -
  FILD        DF        8    yes       0         m16int    -         -
  FILD        DB        8    yes       0         m32int    -         -
  FILD        DF        8    yes       5         m64int    -         -
  FINCSTP     D9F7     16    -         -         -         -         -
# FINIT       9BDBE3   24    -         -         -         -         -
  FNINIT      DBE3     16    -         -         -         -         -
  FIST        DF        8    yes       2         m16int    -         -
  FIST        DB        8    yes       2         m32int    -         -
  FISTP       DF        8    yes       3         m16int    -         -
  FISTP       DB        8    yes       3         m32int    -         -
  FISTP       DF        8    yes       7         m64int    -         -
  FLD         D9        8    yes       0         m32real   -         -
  FLD         DD        8    yes       0         m64real   -         -
  FLD         DB        8    yes       5         m80real   -         -
  FLD         D9C0     13    -         -         ST(i)     -         -
  FLD1        D9E8     16    -         -         -         -         -
  FLDL2T      D9E9     16    -         -         -         -         -
  FLDL2E      D9EA     16    -         -         -         -         -
  FLDPI       D9EB     16    -         -         -         -         -
  FLDLG2      D9EC     16    -         -         -         -         -
  FLDLN2      D9ED     16    -         -         -         -         -
  FLDZ        D9EE     16    -         -         -         -         -
  FLDCW       D9        8    yes       5         m2byte    -         -
  FLDENV      D9        8    yes       4         m14/28byte -        -
  FMUL        D8        8    yes       1         ST(0)     m32real   -
  FMUL        DC        8    yes       1         ST(0)     m64real   -
  FMUL        D8C8     13    -         -         ST(0)     ST(i)     -
  FMUL        DCC8     13    -         -         ST(i)     ST(0)     -
  FMULP       DEC8     13    -         -         ST(i)     ST(0)     -
  FIMUL       DA        8    yes       1         m32int    -         -
  FIMUL       DE        8    yes       1         m16int    -         -
  FNOP        D9D0     16    -         -         -         -         -
  FPATAN      D9F3     16    -         -         -         -         -
  FPREM       D9F8     16    -         -         -         -         - 
  FPREM1      D9F5     16    -         -         -         -         -
  FPTAN       D9F2     16    -         -         -         -         -
  FRNDINT     D9FC     16    -         -         -         -         -
  FRSTOR      DD        8    yes       4         m94/108byte -       -
  FSAVE       9BDD     16    yes       6         m94/108byte -       -
  FNSAVE      DD        8    yes       6         m94/108byte -       -
  FSCALE      D9FD     16    -         -         -         -         -
  FSIN        D9FE     16    -         -         -         -         -
  FSINCOS     D9FB     16    -         -         -         -         -
  FSQRT       D9FA     16    -         -         -         -         -
  FST         D9        8    yes       2         m32real   -         -
  FST         DD        8    yes       2         m64real   -         -
  FST         DDD0     13    -         -         ST(i)     -         -
  FSTP        D9        8    yes       3         m32real   -         -
  FSTP        DD        8    yes       3         m64real   -         -
  FSTP        DB        8    yes       7         m80real   -         -
  FSTP        DDD8     13    -         -         ST(i)     -         -
  FSTCW       9BD9     16    yes       7         m2byte    -         -
  FNSTCW      D9        8    yes       7         m2byte    -         -
  FSTENV      9BD9     16    yes       6         m14/28byte -        -
  FNSTENV     D9        8    yes       6         m14/28byte -        -
  FSTSW       9BDD     16    yes       7         m2byte    -         -
# FSTSW       9BDFE0   24    -         -         AX        -         -
  FNSTSW      DD        8    yes       7         m2byte    -         -
  FNSTSW      DFE0     16    -         -         AX        -         -
  FSUB        D8        8    yes       4         ST(0)     m32real   -
  FSUB        DC        8    yes       4         ST(0)     m64real   -
  FSUB        D8E0     13    -         -         ST(0)     ST(i)     -
  FSUB        DCE8     13    -         -         ST(i)     ST(0)     -
  FSUBP       DEE8     13    -         -         ST(i)     ST(0)     -
  FISUB       DA        8    yes       4         m32int    -         -
  FISUB       DE        8    yes       4         m16int    -         -
  FSUBR       D8        8    yes       5         m32real   -         -
  FSUBR       DC        8    yes       5         m64real   -         -
  FSUBR       D8E8     13    -         -         ST(0)     ST(i)     -
  FSUBR       DCE0     13    -         -         ST(i)     ST(0)     -
  FSUBRP      DEE0     13    -         -         ST(i)     ST(0)     -
  FISUBR      DA        8    yes       5         m32int    -         -
  FISUBR      DE        8    yes       5         m16int    -         -
  FIST        D9E4     16    -         -         -         -         -
  FUCOM       DDE0     13    -         -         ST(i)     -         -
  FUCOMP      DDE8     13    -         -         ST(i)     -         -
  FUCOMPP     DAE9     16    -         -         -         -         -
  FXAM        D9E5     16    -         -         -         -         -
  FXCH        D9C8     13    -         -         ST(i)     -         -
  FXTRACT     D9F4     16    -         -         -         -         -
  FYL2X       D9F1     16    -         -         -         -         -
  FYL2XP1     D9F9     16    -         -         -         -         -
  HLT         F4        8    -         -         -         -         -
  IDIV        F6        8    yes       7         r/m8      -         -
  IDIV        F7        8    yes       7         r/m32     -         -
  IMUL        F6        8    yes       5         r/m8      -         -
  IMUL        F7        8    yes       5         r/m32     -         -
  IMUL        0FAF     16    yes       -         reg32     r/m32     -
  IMUL        6B        8    yes       -         reg32     r/m32     imm8
# IMUL        6B        8    yes       -         reg32     imm8      -
  IMUL        69        8    yes       -         reg32     r/m32     imm32
# IMUL        69        8    yes       -         reg32     imm32     -
  IN          E4        8    -         -         AL        imm8      -
  IN          E5        8    -         -         EAX       imm8      -
  IN          EC        8    -         -         AL        DX        -
  IN          ED        8    -         -         EAX       DX        -
  INC         FE        8    yes       0         r/m8      -         -
  INC         FF        8    yes       0         r/m32     -         -
  INC         40        5    -         -         reg32     -         -
  INS         6C        8    -         -         m8        -         -
  INS         6D        8    -         -         m32       -         -
  INT3        CC        8    -         -         -         -         -
  INT         CD        8    -         -         imm8      -         -
  INTO        CE        8    -         -         -         -         -
  INVD        0F08     16    -         -         -         -         -
  INVLPG      0F01     16    yes       7         m         -         -
  JA          77        8    -         -         rel8      -         -
  JAE         73        8    -         -         rel8      -         -
  JBE         76        8    -         -         rel8      -         -
  JC          72        8    -         -         rel8      -         -
  JECXZ       E3        8    -         -         rel8      -         -
  JE          74        8    -         -         rel8      -         -
# JZ          74        8    -         -         rel8      -         -
  JG          7F        8    -         -         rel8      -         -
  JGE         7D        8    -         -         rel8      -         -
  JL          7C        8    -         -         rel8      -         -
  JLE         7E        8    -         -         rel8      -         -
  JNE         75        8    -         -         rel8      -         -
# JNZ         75        8    -         -         rel8      -         -
  JNO         71        8    -         -         rel8      -         -
  JNS         79        8    -         -         rel8      -         -
  JO          70        8    -         -         rel8      -         -
  JPE         7A        8    -         -         rel8      -         -
  JPO         7B        8    -         -         rel8      -         -
  JS          78        8    -         -         rel8      -         -
  JA          0F87     16    -         -         rel32     -         -
  JAE         0F83     16    -         -         rel32     -         -
  JB          0F82     16    -         -         rel32     -         -
  JBE         0F86     16    -         -         rel32     -         -
  JE          0F84     16    -         -         rel32     -         -
# JZ          0F84     16    -         -         rel32     -         -
  JG          0F8F     16    -         -         rel32     -         -
  JGE         0F8D     16    -         -         rel32     -         -
  JL          0F8C     16    -         -         rel32     -         -
  JLE         0F8E     16    -         -         rel32     -         -
  JNE         0F85     16    -         -         rel32     -         -
# JNZ         0F85     16    -         -         rel32     -         -
  JNO         0F81     16    -         -         rel32     -         -
  JNS         0F89     16    -         -         rel32     -         -
  JO          0F80     16    -         -         rel32     -         -
  JPE         0F8A     16    -         -         rel32     -         -
  JPO         0F8B     16    -         -         rel32     -         -
  JS          0F88     16    -         -         rel32     -         -
  JMP         EB        8    -         -         rel8      -         -
  JMP         E9        8    -         -         rel32     -         -
  JMP         FF        8    yes       4         r/m32     -         -
  JMP         EA        8    -         -         ptr16:32  -         -
  JMP         FF        8    yes       -         m16:32    -         -
  LAHF        9F        8    -         -         -         -         -
  LAR         0F02     16    yes       -         reg32     r/m32     -
  LDS         C5        8    yes       -         reg32     m16:32    -
  LEA         8D        8    yes       -         reg32     m         -
  LEAVE       C9        8    -         -         -         -         -
  LES         C4        8    yes       -         reg32     m16:32    -
  LFS         0FB4     16    yes       -         reg32     m16:32    -
  LGS         0FB5     16    yes       -         reg32     m16:32    -
  LGDT        0F01     16    yes       2         m16&32    -         -
  LIDT        0F01     16    yes       3         m16&32    -         -
  LLDT        0F00     16    yes       2         r/m16     -         -
  LMSW        0F01     16    yes       6         r/m16     -         -
  LODS        AC        8    -         -         m8        -         -
  LODS        AD        8    -         -         m32       -         -
  LOOP        E2        8    -         -         rel8      -         -
  LOOPE       E1        8    -         -         rel8      -         -
# LOOPZ       E1        8    -         -         rel8      -         -
  LOOPNE      E0        8    -         -         rel8      -         -
# LOOPNZ      E0        8    -         -         rel8      -         -
  LSL         0F03     16    yes       -         reg32     r/m32     -
# LSL         0F03     16    yes       -         reg16     r/m16     -
  LSS         0FB2     16    yes       -         reg32     m16:32    -
  LTR         0F00     16    yes       3         r/m16     -         -
  MOV         88        8    yes       -         r/m8      reg8      -
  MOV         89        8    yes       -         r/m32     reg32     -
  MOV         8A        8    yes       -         reg8      r/m8      -
  MOV         8B        8    yes       -         reg32     r/m32     -
  MOV         8C        8    yes       -         r/m16     Sreg      -
  MOV         8E        8    yes       -         Sreg      r/m16     -
  MOV         A0        8    -         -         AL        moffs8    -
  MOV         A1        8    -         -         EAX       moffs32   -
  MOV         A2        8    -         -         moffs8    AL        -
  MOV         A3        8    -         -         moffs32   EAX       -
  MOV         B0        5    -         -         reg8      imm8      -
  MOV         B8        5    -         -         reg32     imm32     -
  MOV         C6        8    yes       0         r/m8      imm8      -
  MOV         C7        8    yes       0         r/m32     imm32     -
  MOV         0F22     16    yes       -         CR?       reg32     -
  MOV         0F20     16    yes       -         reg32     CR?       -
  MOV         0F21     16    yes       -         reg32     DR?       -
  MOV         0F23     16    yes       -         DR?       reg32     -
  MOVD        0F6E     16    yes       -         mm        r/m32     -
  MOVD        0F7E     16    yes       -         r/m32     mm        -
  MOVQ        0F6F     16    yes       -         mm        mm/m64    -
  MOVQ        0F7F     16    yes       -         mm/m64    mm        -
  MOVS        A4        8    -         -         m8        m8        -
  MOVS        A5        8    -         -         m32       m32       -
  MOVSX       0FBE     16    yes       -         reg32     r/m8      -
  MOVSX       0FBF     16    yes       -         reg32     r/m16     -
  MOVZX       0FB6     16    yes       -         reg32     r/m8      -
  MOVZX       0FB7     16    yes       -         reg32     r/m16     -
  MUL         F6        8    yes       4         r/m8      -         -
  MUL         F7        8    yes       4         r/m32     -         -
  NEG         F6        8    yes       3         r/m8      -         -
  NEG         F7        8    yes       3         r/m32     -         -
  NOP         90        8    -         -         -         -         -
  NOT         F6        8    yes       2         r/m8      -         -
  NOT         F7        8    yes       2         r/m32     -         -
  OR          0C        8    -         -         AL        imm8      -
  OR          0D        8    -         -         EAX       imm32     -
  OR          80        8    yes       1         r/m8      imm8      -
  OR          81        8    yes       1         r/m32     imm32     -
  OR          83        8    yes       1         r/m32     imm8      -
  OR          08        8    yes       -         r/m8      reg8      -
